Grading Company,Cert,Gem Rate ID,Info,Grade,CL,Conf,Payout,Index,Index ID,Population,Index % Change,Front Image URL,Back Image URL
PSA,63910633,df3e4faaef7c9da2a4601da760f6923dbf0b5b8f,2020 Panini Mosaic Stephen Curry Genesis 175,g10,223,3,200.70,Stephen Curry,Stephen Curry,67,0.0935,./No-Image-Placeholder.svg.png,./No-Image-Placeholder.svg.png
PSA,63910633,df3e4faaef7c9da2a4601da760f6923dbf0b5b8f,2020 Panini Mosaic Stephen Curry Genesis 175,g10,223,3,200.70,Stephen Curry,Stephen Curry,67,0.0935,./No-Image-Placeholder.svg.png,./No-Image-Placeholder.svg.png
PSA,63910633,df3e4faaef7c9da2a4601da760f6923dbf0b5b8f,2020 Panini Mosaic Stephen Curry Genesis 175,g10,222,3,199.80,Stephen Curry,Stephen Curry,67,0.0915,./No-Image-Placeholder.svg.png,./No-Image-Placeholder.svg.png
PSA,63910633,df3e4faaef7c9da2a4601da760f6923dbf0b5b8f,2020 Panini Mosaic Stephen Curry Genesis 175,g10,222,3,199.80,Stephen Curry,Stephen Curry,67,0.0915,./No-Image-Placeholder.svg.png,./No-Image-Placeholder.svg.png
